Company Name,Type,Traded,Traded as,ISIN,Domain,Industry,Founded,Founders,Headquarters,Number of locations,Area served,Products,Services,Revenue,Operating income,Net income,Total assets,Total equity,Key people,Number of employees,Subsidiaries,Divisions,Website
Texas Roadhouse,Public,Nasdaq,TXRHS&,,Hospitality,Restaurants,"February 17, 1993",Wayne Kent Taylor,"Louisville, Kentucky, U.S.",666 (August 2021),"United States, Saudi Arabia, Kuwait, Bahrain, United Arab Emirates, Qatar, Philippines, Taiwan, Mexico, China, South Korea","Steak, ribs, chicken, margaritas, beer, burgers, country dinners, salads, appetizers, combos, desserts, kids' meals, and seafood",, US$2.8 billion †, US$186.20 million, US$186.12 million, US$1.33 billion, US$839.08 million,Jerry Morgan (CEO) & (President)Tonya Robinson  (CFO) Cortney Terry (Investor Relations Coordinator)Doug Thompson (COO)Chris Colson (General Counsel) Hernan Mujica (Chief Information Officer)Gina Tobin (Chief Learning and Culture Officer)Chris Jacobsen (CMO),"64,900",,,texasroadhouse.com
The Andersons,Public,Nasdaq,ANDES&,,Conglomerate,Conglomerate,1947,Harold AndersonMargaret Anderson,"Maumee, Ohio, United States",,U.S.,,, US$ 5.27 billion , US$ 111.08 million , US$ 79.48 million, US$ 2.18 million , US$ 594.41 million ,Michael J. Anderson (Chairman)Patrick E. Bowe (CEO),"1,819",,,www.andersonsinc.com
The Carlyle Group,Public,Nasdaq,CG,,Finance/Insurance,Private equity,1987,William E. Conway Jr.Daniel A. D'AnielloDavid Rubenstein,"Washington, D.C., United States",,,Leveraged buyoutsGrowth capitalEnergyEnergy lendingStructured creditReal estate,,US$2.935 billion ,US$580.0 million ,US$ 382.8 million,US$ 15.664 billion ,US$ 2.930 billion ,Daniel A. D'Aniello  (chairman Äã †emeritus)William E. Conway Jr. Äã †(co-executive chairman)David M. Rubenstein Äã †(co-executive chairman)Kewsong Lee (CEO),"1,800",,,carlyle.com
The Cheesecake Factory,Public,Nasdaq,CAKES&,,Hospitality,Restaurants,1972,David Overton,"Calabasas, California, U.S.",211 restaurants,,"Cheesecakes, burgers, pizza, pasta, steaks, sandwiches",, US$2.483 billion , US$110.500 million , US$127.923 million, US$2.841 billion , US$571.742 million ,David Overton(Chairman and CEO)David Gordon(President),"46,250","The Cheesecake Factory Bakery Cafe, LLC.  Grand Lux Cafe, LLC. RockSugar Pan Asian Kitchen, LLC.Social Monk Asian Kitchen  Fox Restaurant Concepts",,thecheesecakefactory.com
The Children's Place,Public,Nasdaq,PLCES&,,Retail,Apparel,1969,,"Secaucus, New Jersey","1,085 stores at United States, Canada, Puerto Rico (2015) and 90 international stores",,Children Äôs apparel and accessories,, US$ 1.938 billion ,, US$ 100.96 million, US$  727.046 million ,,,,Gymboree,,www.childrensplace.comwww.gymboree.com
The Eastern Company,Public,NASDAQ,EML,,Manufacturing,Small Tools & Accessories,1858,,"Naugatuck, Connecticut, United States",,,"security products, metal products, industry hardware",,,,,,,"Leonard F. Fagenza ( Chief Exec. Officer, Pres, Chairman) (2012.12)",,,,www.easterncompany.com
The Honest Company,Public,Nasdaq,HNST,,Retail,Retail,2011,"Jessica Alba, Brian Lee, Sean Kane, Christopher Gavigan","Playa Vista, California",,"United States, Canada",Consumer goods,, $300.5 Million,,,,,Founder / Chairperson Jessica AlbaCEO Nick VlahosCPO Christopher Gavigan,397,,,honest.com
The ODP Corporation,Public,Nasdaq,ODPS&,,Retail,Specialty retail,Oct-86,F. Patrick Sher,"Boca Raton, Florida, U.S.","1,378 (December 2017)",North AmericaEurope,"Office supplies, Technology, Furniture, Copy & Print, Shipping Services",, US$10.240 billion , US$341 million , US$181 million, US$6.323 billion , US$2.120 billion ,Gerry Smith (Chairman and CEO)D. Anthony Scaglione (CFO),"38,000",OfficeMaxGrand & ToyCompuCom,,officedepot.com
The RealReal,Public,Nasdaq,REAL,,Retail,E-commerce,2011,Julie Wainwright,"San Francisco, California",,,,Authenticated Luxury Consignment, $300 Million,,,,,,1700,,,therealreal.com
The Wendy's Company,Public,Nasdaq,WENS&,US95058W1009,Hospitality,Restaurants,1884,,"Dublin, Ohio, U.S.","5,810 (United States)368 (Canada)6,178 (North America)533 (International)6,711 (Total)",Worldwide,Fast food,,US$ 1.4 billion, US$ 269.3 million, US$ 117.83 million, US$ 5.040 billion, US$ 549.30 million,Todd A. Penegor(President & CEO)Gunther Plosch(CFO),"14,000",Wendy's,,www.wendys.com
The York Water Company,Investor owned,Nasdaq,YORW,,Service,Public Untility,1816,,,,,,,,,,,,,,,,
The9,Public,Nasdaq,NCTY,,Entertainment/Gaming,Video games,1999,,"Shanghai, China",,China,Online game operation,,US$10.16 million ,,US-$17.03 million,,,"Zhu Jun, Chairman/CEO",498,,,www.the9.com/en/ (in English)
Thoughtworks,Public,Nasdaq,TWKS,,Software/Hardware,Software industry,1993,Neville Roy Singham,"Chicago, Illinois, United States",48,,,"Custom software, applications",,,,,,"Martin Fowler, Jim Highsmith",,,,thoughtworks.com
Thryv,Public,Nasdaq,THRY,,Software/Hardware,SoftwareMarketing,2013,,"Dallas, Texas, United States",,,SaaSYellow Pages,,,,,,,Joe Walsh (CEO),"2,400",,,www.thryv.com
Tilray,Public,Nasdaq,TLRYTSXTLRY,,Biotechnology,"Cannabis, Pharmaceutical",2013,,"Toronto, Canada",,,,,$210.48 million,,,,,,"1,030",,,Tilray.com
Titan Machinery,Public,Nasdaq,TITN,,Agricultural,Agricultural equipment  Construction equipment,,,"Fargo, North Dakota, United States",,Midwestern United States,"Case IH, New Holland Agriculture, Case CE, New Holland Construction",,$1.094 billion,$44 million ,$22 million,,,"David Meyer, CEO",1800,,,www.titanmachinery.com
Titan Pharmaceuticals,Public,Nasdaq,TTNP,,Biotechnology,Pharmaceuticals,,,California,,,,,,,,,,"Executive Chairman, Marc Rubin, MD;  President & COO, Kate Beebe Devarney, Ph.D",,,,www.titanpharm.com
Tivity Health,,Nasdaq,TVTYS&,,Healthcare,Health care,1981,,"Franklin, Tennessee, United States",,United States,,"Fitness, nutrition and social engagement solutions"," US$606,299,000 "," US$133,805,000 "," US$98,803,000 ",,,Chief Executive Officer ,"1,000",,,www.tivityhealth.com
T-Mobile US,Public,Nasdaq,TMUS,US8725901040,Telecom,Telecommunications,1994,John W. Stanton,"Bellevue, WashingtonOverland Park, Kansas","20,100(2,200 direct-owned13,300 exclusive 3rd party4,600 non-exclusive 3rd party)",United States,Mobile telephonyWireless broadband,, US$68.397 billion , US$5.309 billion , US$3.468 billion , US$72.468 billion , US$24.718 billion ,Timotheus H√∂ttges (Chairman of the Board)Mike Sievert (President & Chief Executive Officer)Peter Osvaldik (Executive VP & Chief Financial Officer) Neville Ray (President of Technology),"75,000",,Metro by T-Mobile,t-mobile.com
Tower Semiconductor,Public,TASE,TOWN,,Software/Hardware,Semiconductor,1993,,"Migdal Haemek, Israel",,,,,US$1.266 billion ,,,,,Russell Ellwanger (CEO) Amir Elstein (Chairman),,"Tower Semiconductor Newport Beach, Inc (previously Jazz Semiconductor)",,www.towersemi.com
Tractor Supply Company,Public,Nasdaq,TSCOS&,,Retail,Retail,1938,,"Brentwood, Tennessee, U.S.","1,923",49 U.S. states,"Clothing & Footwear, Dog, Cat & Pet Supplies, Trailers & Accessories, Lawn and Garden Supplies, Propane & Heating Supplies,Tools & Gun Safes, Fencing, Welders & Welding Supplies, Lawn Mowers & Power Generators, etc",,US$ 10.620 billion ,US$ 996.9 million ,US$ 749.0 million,US$ 7.049 billion ,US$ 1.924 billion ,Hal Lawton - President and CEO,"42,000",,,tractorsupply.com
Tradeweb,Public,Nasdaq,TW,,Finance/Insurance,Financial services,1998,,"New York City, United States",,,,,,,,,,"Lee Olesky, Co-Founder, CEOJim Toffey, Co-FounderBilly Hult, President",,,,www.tradeweb.com
TravelCenters of America,Public,Nasdaq,TA,,Miscelleneous,Truck stops,1972,,"24601 Center Ridge Road, Westlake, Ohio, United States",272 †(2021),,,,US$ 6.1 billion †,,,,,"Jon Pertchik (CEO)Barry Richards (President)Peter J. Crage (EVP, CFO, Treasurer)","20,259",,TA Restaurant GroupTA Truck Service,ta-petro.com
Travelzoo,Public,Nasdaq,TZOO,,Media,Internet media,1998,,New York City,,"United States, Canada, Australia, China, Hong Kong, Japan, Singapore, United Kingdom",,, $106.5 million ,,,,,,422,,,www.travelzoo.com
Tremor International,Public,Nasdaq,TRMRAIMTRMR,,Advertising,Advertising,2007,,"Israel, United States",,Worldwide,,,,,,,,Ofer Druker (CEO)Yaniv Carmi (COO)Sagi Niri (CFO),,"Tremor Video, Unruly, RhythmOne, Taptica",,Tremor International
Trevena Inc,Public,Nasdaq,TRVN,,Biotechnology,Biotechnology / Pharmaceutical,,,"Chesterbrook, Pennsylvania, United States",,,,,,,,,,Carrie L. Bourdow (President and CEO),,,,www.trevena.com
Trimble Inc.,Public,Nasdaq,TRMBS&,,Miscelleneous,"Geospatial, Construction, Agriculture, Transportation and Logistics, Telecommunications, Asset tracking, Mapping, Utilities, Mobile Resource Management, Government, RFID",Nov-78,"Charles Trimble, et al.","Sunnyvale, California, U.S.",,,,,US$3.3 billion †,,US$514.3 million,,,Robert Painter (CEO)David G. Barnes (CFO),"11,500",,,www.trimble.com
Trip.com Group,Public,Nasdaq,TCOMSEHK,,Travel,Travel agency,Jun-99,,Shanghai,,Worldwide,,, US$ 5.12 billion  ,, US$ 1.0 billion  , US$ 28.75 billion  ,,Jane Jie Sun (CEO)James Liang (Chairman),"33,400",SkyscannerTrip.comMakeMyTripQunarCtrip.comTrainPal,,group.trip.com
Tripadvisor,Public,NASDAQ,TRIP,,Travel,Travel services,Feb-00,,"Needham, Massachusetts, U.S.",,,Hotel and flight bookingVacation rentalTable reservationGuide books,, $1.560 billion ,, $126 million, $1.984 billion , $1.161 billion ,,,,,
Trivago,Public,Nasdaq,TRVG,,Travel,"Travel, Hotel, Information technology, Marketing",Jan-05,Rolf Schr√∂mgens Stephan StubnerPeter VinnemeierMalte Siewert,"Amsterdam, Netherlands",,,Metasearch for hotel pricestrivago Hotel Manager,, $ 941 million ,,,,,Axel Hefer (CEO)Matthias Tillmann (CFO)Johannes Thomas (CRO)Anna Dr√ºing (CPO)James Carter (CTO),"1,320",Base7bookingRheinfabrikTripHappy,,www.trivago.com 
TrueCar,Public,Nasdaq,TRUE,,Software/Hardware,Technology,Feb-05,Scott PainterTom Taira,"Santa Monica, California, U.S.",,,Pricing and information for new and used cars,, US$ 353.9 million , US$ -54.6 million , US$ -54.9 million, US$ 438.8 million , US$ 438.8 million ,"Christopher W. Claus, (chairman)Michael Darrow, (CEO and president)Noel Watson, (CFO)Jeffrey J. Swart, (General Consul)",650,,,www.truecar.com
Trupanion,Public,Nasdaq,TRUPS&,,Finance/Insurance,Pet insurance,1999,Darryl Rawlings,"Seattle, Washington, U.S.",,"Puerto Rico, Canada and The United States",,Insurance,,,,,,,,,,trupanion.com
TrustCo Bank,Public,Nasdaq,TRSTS&,,Banking,Banking,1902,,"Glenville, New York, United States",148 Branches:        Ä¢ 88 New York       Ä¢ 53 Florida       Ä¢ 4 Massachusetts       Ä¢ 2 New Jersey       Ä¢ 1 Vermont,"New York, Florida, Massachusetts, New Jersey and Vermont",Financial services Personal Financial Services: Checking Savings Lending      Ä¢ 1st Mortgage       Ä¢ Home Equity Loans       Ä¢ Home Equity Lines of Credit Credit Cards Commercial Financial Services: Checking Loans Loan Alternatives Employee Benefits Overdraft Protection,,,,$28.12 millionUSD ,,,"Robert J. McCormick, President, Chief Executive Officer Robert T. Cushing, Executive Vice President, Chief Financial OfficerScot R. Salvador, Executive Vice President, Chief Banking Officer Eric W. Schreck, Senior Vice President, Florida Regional President",,,,Official website
TTEC,Public,Nasdaq,TTECS&,,Software/Hardware,"Customer experience technology, Business process outsourcing, Offshore outsourcing",1982,Kenneth D. Tuchman,"Englewood, Colorado, United States",22 countries,Multi-national,,,$1.644 billion,,,,,Kenneth D. Tuchman (CEO),"61,000",,,
Tucows,Public,Nasdaq,TCX,,Telecom,Internet servicesMobile telecommunications,1993,,"Toronto, Ontario",,,OpenSRSHoverEnomAscio,Domain name registrationE-mail hostingsSSL CertificatesInternet service provider, US$329 million ,, US$22 millionUSD ,,,,,,,
Turtle Beach Corporation,Public,Nasdaq,HEAR,,Entertainment/Gaming,"Gaming audio, Gaming accessories",1975,Robert HokeRoy Smith,"San Diego, California, U.S.",,,Gaming headsets,, $234.7 million,,,,,Ron Doornink(Chairman)Juergen Stark(CEO),,,,www.turtlebeach.com
Twin Disc,Public,Nasdaq,TWIN,,Manufacturing,Manufactures and distributes power transmission equipment,1918,P.H. Batten,"Nivelles, Belgium, Racine, Wisconsin, United States",,"Asia, Europe, North America, Oceania, and South America",,,,,,,,"John H. Batten (President, Chief Executive Officer)  David B. Rayburn (Chairman) ",,,,http://www.twindisc.com/
U.S. Century Bank,Public,Nasdaq,USCB,,Banking,BankingFinancial servicesInvestment services,"October 28, 2002",,"Doral, Florida",,South Florida,FinanceConsumer BankingCorporate BankingGlobal BankingHomeowners Association,,,,, US$ 1.7 billion , US$ 166.3 million ,Aida LevitanChairman of the BoardLuis de la AguileraPresident and CEO,183,,,uscentury.com
Ubiquiti,Public,NYSE,UI,,Energy,"Computer networking, energy",Oct-03,Robert Pera,"New York City, United States",,,Computer networking devices,, US$1.016 †billion , US$314.142million , US$196.290 million, US$1.022billion , US$315.748million ,,843,,,www.ui.com 
Ucommune,Public,Nasdaq,UK,,Service,Coworking space,2015,Mao Daqing,"Beijing, China",>100 †(2018),,"Workspace for startups, entrepreneurs and small businesses","Shared workspaces, training for businesses",,,,,,,,,,www.ucommune.com
UFP Technologies,Public,Nasdaq,UFPT,,Manufacturing,Health Care Products Manufacturing,1963,,"Newburyport, Massachusetts, United States",,,"Custom Medical Devices, Sub assemblies, Components and Packaging",,$179.4 Million,,,,,"R. Jeffrey Bailly(Chairman, CEO, and President)Ronald J. Lataille(SVP, Treasurer and CFO)Christopher P. Litterio, Esq.(General Counsel and SVP, Human Resources)Mitchell C. Rock(President, MedTech)Steve Cardin(VP, COO, MedTech)Jason Holt(VP and General Manager, Advanced Components)Daniel J. Shaw, Jr.(VP, Research and Development)",860,,,www.ufpt.com www.ufpmedtech.com www.moldedfiber.com
Ulta Beauty,Public,Nasdaq,ULTAS&,,Retail,Beauty stores,1990,Terry Hanson and Dick George,"Bolingbrook, Illinois, U.S.","approximately 1,200 (2019)",,,, US$4.855 billion ,, US$409.8 million, US$2.552 billion ,,Dave Kimbell (CEO),"37,000",,,ulta.com
Ultragenyx,Public,Nasdaq,RARE,,Biotechnology,BiotechnologyLife Sciences,2010,,"Novato, CA, United States",,,"Research Antibodies, Biotech",, $271 Million,,,,,Emil Kakkis president & founder,740,,,www.ultragenyx.com
Ultralife Corporation,Public,Nasdaq,ULBI,,Manufacturing,Industrial Electrical Equipment,1991,,"Newark, New York, United States",,,"Battery & Energy, Communication Systems",,$  85.5 Million,,,,,"Michael D. Popielec (President & CEO, Director)  Philip A. Fain (CFO & Treasurer, Corporate Secretary)",580,,,ultralifecorporation.com
UMB Financial Corporation,Public,Nasdaq,UMBFS&,,Banking,Banking,1913,,"Kansas City, Missouri, U.S.",,,,, US$1.208 billion , US$338.9 million , US$286.5 million, US$33.13 billion , US$3.017 billion ,"Mariner Kemper (Chairman, President & CEO)Ram Shankar (CFO)Jim Rine (CEO of UMB Bank)","3,591",,,www.umb.com
Umpqua Holdings Corporation,Public,Nasdaq,UMPQS&,,Banking,Commercial Banks,1953,,"Portland, Oregon, United States45 ∞30 Ä≤47 Ä≥N 122 ∞40 Ä≤31 Ä≥WÔªø / Ôªø45.51306 ∞N 122.67528 ∞WÔªø / 45.51306; -122.67528Coordinates: 45 ∞30 Ä≤47 Ä≥N 122 ∞40 Ä≤31 Ä≥WÔªø / Ôªø45.51306 ∞N 122.67528 ∞WÔªø / 45.51306; -122.67528",350,,Checking AccountsSavings AccountsRetirement AccountsHome LoansPersonal InvestingPrivate BankBusiness LoansTreasury ManagementMerchant Services,, US$871.6 million, US$253.3 million  , US$222.5 million ,,,"Peggy Fowler, ChairCort O'Haver, CEO","4,491",,,UmpquaBank.com
United Airlines Holdings,Public,Nasdaq,UAL,,Aviation,Aviation,"December 30, 1968",,"Willis TowerChicago, Illinois, U.S.",,Worldwide,,Airline services, US$ 43.259 billion †, US$ 4.547 billion, US$ 3.009 billion , US$ 52.611 billion, US$ 11.531 billion,Oscar Mu√±oz(Executive Chairman)Scott Kirby(CEO)Brett J. Hart(President),"93,000",United AirlinesUnited Express operated by:Air WisconsinCommutAirGoJet AirlinesMesa AirlinesRepublic AirwaysSkyWest Airlines,,ir.united.com
United Community Bank,Public,Nasdaq,UCBIS&,,Banking,Bank Holding Company,1950,,"Greenville, SC, United States",,,,,,,,$17.8 billion,,H. Lynn Harton  Chief Executive Officer,,,,
United Natural Foods,Public,NYSE,UNFI,,Retail,Food Wholesale/Distribution,1976,,"Providence, RI, United States",,"United States, Canada","wholesale natural, organic, ethnic and gourmet, grocery, produce, perishables, personal care, and supplements.",, US$20 billion, US$241.96 million ,,,,Steven L. Spinner (CEO & Chairman of the Board)  Sean Griffin (COO),"19,000",,Alberts Fresh ProduceHonest Green eSolutionsNor-Cal ProduceTony Äôs Fine FoodsUNFI Brands+UNFI CanadaUNFI Easy OptionsUNFI WellnessWoodstock Farms,unfi.com
United Security Bancshares,Public,Nasdaq,UBFO,,Banking,Banking,2001,,"Fresno, California",,,,, $0.033 billion ,, $0.007 billion , $0.787 billion , $0.096 billion ," Dennis R. Woods, President & CEOBhavneet Gill, CFO",132,,,www.unitedsecuritybank.com
United Therapeutics,Public,Nasdaq,UTHRS&,,Biotechnology,Biotechnology,1996,,"Silver Spring, Maryland and Research Triangle Park, North Carolina, United States",,,,,$1.4 Billion ,,,,,,950,,,www.unither.com
Unity Biotechnology,Public,Nasdaq,UBX,,Biotechnology,"Biotechnology, Pharmaceutical",2011,"Judith Campisi, Jan van Deursen, Nathaniel  ÄúNed Äù David, Daohong Zhou","South San Francisco, California, United States of America",,,,,,,,,,,70,,,unitybiotechnology.com
Universal Display Corporation,Public,Nasdaq,OLEDS&,,Software/Hardware,"Display, Lighting, Technology, Computer Hardware",1994,,"Ewing, NJ, U.S.",,,Organic Light Emitting Diodes,,,,,,,Sid Rosenblatt CFO; Steven V. Abramson CEO,,,,oled.com
Upstart (company),Public,Nasdaq,UPST,,Finance/Insurance,Financial technology,Apr-12,Dave Girouard Anna Counselman Paul Gu,"San Mateo, California, U.S.",,United States,,, US$233.416 Million , US$11.765 Million , US$5.983 million, US$477.255 Million , US$300.252 Million ,,429,,,upstart.com
Upwork,Public,NASDAQ,UPWK,,Retail,Freelance marketplace,1999,,"Santa Clara, California, U.S.",,,,, $373.6 Million ,,,,,,,,,
Urban One,Public,Nasdaq,UONE,,Media,"Broadcasting, Media",1980,Cathy Hughes,"1010 Wayne AvenueFloor 14Silver Spring, Maryland 20910",,United States,,,US$ 441.4 million , US$ 77.2 million , US$ -42.7 million, US$ 1.4 billion , US$ 18.9 million ,Cathy Hughes(Chairman)Alfred C. Liggins III(President & CEO),"1,011",,Reach MediaTV OneInteractive OneNewsOne,urban1.com
Urban Outfitters,Public,Nasdaq,URBNS&,,Retail,Retail,1970,Richard HayneJudy WicksScott Belair,"Philadelphia, Pennsylvania, U.S.",248 (2020),United StatesIndiaBelgiumCanadaDenmarkFranceGermanyIrelandItalyNetherlandsPakistanSwedenUnited KingdomSpainItalyAustriaPolandUnited Arab Emirates,Clothingaccessoriescosmeticsfootwearhousewaresmusic,, US$ 3.9 †Billion , US$ 231 million , US$ 168 million, US$ 3.3 Billion , US$ 1.4 Billion ,Richard Hayne (Chief executive officer),"24,000",AnthropologieFree PeopleTerrainBHLDNTHE Vetri Family,,Commercial websiteCorporate website
UTStarcom,Public,Nasdaq,UTSI,,Telecom,Telecommunications equipment,1991,Hong Liang LuYing Wu,"Beijing, China",,Worldwide,"Packet optical networking equipment, wireless products, broadband access products, SDN",,US$101.6 million ,US$-9.8 million ,,,,Tim Ti (CEO)Zhaochen Huang (COO)Steven Chen (CMO),600,,,www.utstar.com
Vaccitech,Public,Nasdaq,VACC,,Biotechnology,VaccinesImmunotherapyBiotechnology,2016,Sarah GilbertAdrian V. S. Hill,"Oxford Science Park, Oxford, United Kingdom",,,,,,,,,,,,,,vaccitech.co.uk
Valley Bank,Public,Nasdaq,VLYS&,,Finance/Insurance,Financial services,1927,,"1455 Valley Road, Wayne, New Jersey, U.S.",,New JerseyNew YorkPennsylvaniaFloridaAlabama,,,,, $0.099 billion , $31.863 billion , $3.350 billion ,"Gerald H. Lipkin (Chairman)Ira Robbins, (President and CEO)Alan D. Eskow, (Senior Executive Vice President and CFO)","2,842",,,valley.com
Value Line,Public,Nasdaq,VALU,,Finance/Insurance,Financial services,1931,Arnold Bernhard,"New York City, New York, United States",,,,,,,,,,,,,,www.valueline.com
Varonis Systems,Public,Nasdaq,VRNS,,Software/Hardware,Computer software,2005,Yaki FaitelsonOhad Korkus,"New York City, U.S.",,Worldwide,,,US$ 217.4 †million  ,,,US$ 181.8million  ,US$  82.7million   ,Yaki Faitelson(CEO) Ohad Korkus(Chief Technology Officer),1000,,,https://varonis.com
Vaxart,Public,Nasdaq,VXRT,,Biotechnology,Biotechnology,01-Jan-04,,"South San Francisco, California",,,Oral vaccines,,$9.9 Million,,,,,"Andrei ""Andy"" Floroiu (CEO)",28,,,vaxart.com
Veeco,Public,Nasdaq,VECOS&,,Manufacturing,Manufacturing,1945,,"Plainview, New York, USA",,,,,$542 million ,,,,,"Dr. William Miller, CEO | John Kiernan, SVP & CFO","1,043",,,www.veeco.com
Velodyne Lidar,Public,Nasdaq,VLDR,,Miscelleneous,Lidar,1983,David Hall ,"San Jose, California, United States",,,Lidar,, $101.1 Million,,,,,"Matt Rekow, CTODrew Hamer, CFOJim Barnhart, COOSinclair Vass, CCOSally Frykman, CMOKathy McBeath, CPO",500,,,www.velodynelidar.com
VEON,Limited company,Nasdaq,VEON,,Telecom,Telecommunications,2009,Dmitry Zimin  Augie K. Fabela,"Amsterdam, Netherlands",,"Africa,Asia,Europe","Mobile telephony, mobile phones retailing, international telephony, broadband Internet, IPTV, city-wide Wi-Fi, domain name registrar and others",,US$ 9.78 billion  ,,,US$ 33.85 billion ,,Gennady Gazin (chairman) Kaan Terzioƒülu and Sergi Herrero (co-CEOs),"66,000",OJSC VimpelCom KB Impuls KyivstarSri Lanka Telecom (44.98%)Global Telecom Holding,,www.veon.com
Vera Bradley,Public,Nasdaq,VRAS&,,Miscelleneous,Luggage and handbag design company,1982,Patricia Miller and Barbara Bradley Baekgaard,"Fort Wayne, Indiana, United States",154 (November 2019) - 91 Full Line stores and 63 Factory stores,,"handbags, luggage, fashion accessories",,$468.3 million ,,,,,Robert Wallstrom (CEO)John Enwright (CFO)Daren Hull (Vera Bradley Brand President),2620,,,verabradley.com
Verastem Oncology,Public,Nasdaq,VSTM,,Biotechnology,Pharmaceutical Industry,2010,,"Needham, Massachusetts, United States",,,Pharmaceuticals,,,,,,,Brian Stuglik (CEO)Dan Paterson (COO)Jonathan Pachter Ph.D. (CSO),100-200,,,www.verastem.com
Vericel,Public,Nasdaq,VCELS&,,Biotechnology,Biotechnology,1989,,"Cambridge, Massachusetts, United States",2,,MACIEpicelCarticel,,,,,,,Nick Colangelo (CEO)Daniel Orlando (COO)Gerard Michel (CFO),,,,
Verint Systems,Public,Nasdaq,VRNT,,Software/Hardware,"Software Business,Intelligence Speech, Analytics",2002,,"Melville, New York, US",,,,,$1.135 billion ,,,$2.58 billion  ,,"Dan Bodner, President and CEO","3,900",,,verint.com
Verisign,Public,NASDAQ,VRSN,,Telecom,"Internet, Communications","April 12, 1995",,"Reston, Virginia, U.S.",,,,, US$1.17 billion , US$686.6 million , US$492 million, US$2.941 billion ,US$1.201 billion ,,,,,
Verisk Analytics,Public,Nasdaq,VRSK,,Software/Hardware,Data analytics and risk assessment,1971,,"Jersey City, New Jersey, U.S.",,,,,US$2.1 billion ,,US$507.6 million,,,"Scott G. Stephenson (chairman, president and chief executive officer)","9,300",AIR WorldwideInsurance Services OfficeMaplecroftWood MackenzieXactware,,www.verisk.com 
Verisk Analytics,Public,Nasdaq,VRSK,,Software/Hardware,Data analytics and risk assessment,1971,,"Jersey City, New Jersey, U.S.",,,,,US$2.1 billion ,,US$507.6 million,,,"Scott G. Stephenson (chairman, president and chief executive officer)","9,300",AIR WorldwideInsurance Services OfficeMaplecroftWood MackenzieXactware,,www.verisk.com 
Veritone,,Nasdaq,VERI,,Software/Hardware,Artificial Intelligence,2014,,"Costa Mesa, California",,"San Diego, California, Denver, Colorado, Binghamton, New York, New York City, Washington, D.C., and London, England",,,,,,,,"Chad Steelberg (CEO), Ryan Steelberg (President)",277,,,
Verizon Communications,Public,NYSE,VZNasdaqVZ,US92343V1044,Telecom,TelecommunicationsMass media,"October 7, 1983",,"1095 Avenue of the Americas, New York City, New York, U.S.",,"Worldwide, mainly serving United States",Cable televisionLandlineMobile phoneBroadbandDigital televisionIPTVDigital MediaInternetTelematics,, US$128.29 billion †, US$28.79 billion, US$18.35 billion , US$316.48 billion,US$69.27 billion,"Hans Vestberg (Chairman, CEO)","1,32,200",BlueJeansSkywardVisibleVerizon Hearst Media Partners (50%),Verizon ConsumerVerizon Business,verizon.com
Vertex Inc,Public,Nasdaq,VERX,,Software/Hardware,Tax compliance software,1978,Ray Westphal,"King of Prussia, Pennsylvania, United States",,Worldwide,Vertex Indirect Tax O SeriesVertex Cloud Indirect TaxVertex Communications TaxVertex Payroll Tax On-DemandVertex Reporting & AnalysisVertex Indirect Tax Returns,Vertex Sales & Use Tax Returns OutsourcingVertex Exemption Certificate Outsourcing,,,,,,David DeStefano President and CEOSteve Hinkley COOJohn Schwab CFO,"1,100",,,Vertex
Vertex Pharmaceuticals,Public,Nasdaq,VRTX,,Biotechnology,Pharmaceuticals & Biotherapeutics,1989,,"Boston, Massachusetts",,,Pharmaceuticals,, US$3.04 billion ,,,,,"Reshma Kewalramani, M.D., president and CEOStuart A. Arbuckle, executive vice president and chief commercial officerMichael J. Parini, executive vice president and chief legal, administrative and business development officerJeffrey Leiden, M.D., PhD, executive chairmanDavid Altshuler, M.D., PhD, executive vice president, global research and chief scientific officerAmit K. Sachdev, executive vice president and chief patient officer","3,000",,,www.vrtx.com
ViacomCBS,Public,Nasdaq,VIACA,US92556H2067,Media,Mass mediaEntertainment,"December 4, 2019",Shari Redstone,"One Astor Plaza, Manhattan, New York City, U.S.",,Worldwide,,, US$25.29 billion , US$4.14 billion , US$2.42 billion , US$52.66 billion , US$15.37 billion ,Shari Redstone(Chairwoman)Robert Bakish(President and CEO),"22,109",Bellator MMASimon & SchusterVidConWestinghouse Licensing,Paramount PicturesCBS Entertainment GroupViacomCBS Domestic Media NetworksViacomCBS Networks InternationalViacomCBS StreamingViacomCBS Global DistributionViacomCBS Consumer Products,www.viacomcbs.com
Viasat (American company),Public,Nasdaq,VSATS&,,Telecom,Communications,May-86,,"Carlsbad, California, U.S.",,,Military communications equipmentHigh-speed satellite modemsMIDS and Tactical Data LinksMobile SatcomAntenna systemsVSAT networksBroadband systems,Secure networkingSatellite Internet access, US$2.3 billion  ,, US$458 million ,,,"Richard A. Baldridge (President, CEO)Mark D. Dankberg (Executive Chairman)Shawn Duffy (CFO)Kevin Harkenrider (COO)","5,900",,,viasat.com
